id,storyImage,storySound,chapter<jpn>,storyTitle<jpn>,storyOutline<jpn>,storyTarget<jpn>
shino1-2,scenario04,character02,Character Episode Shino : 2,The Girl Searching for a Place in a Photo,"We found the landscape shown in the photograph.<br>Searching for the place in a photograph she happened to find had seemed like an impossible task, but actually finding it left me with a strange feeling. Nostalgic, somehow sad.<br>Shino told me about her hometown. Apparently, she doesn’t have any photographs of that distant place with her.<br>Whenever she talked about home, her eyes seemed to be looking somewhere very far away.",Search for the place in the photo
shino1-2_5,scenario04,character02,Character Episode Shino : 3,The Girl Searching for a Place in a Photo,Looking at a photograph brings back the feelings from when it was taken.<br>I think about the photographs Shino used to take. The only photographs she has now are ones taken by some stranger， found by chance in an empty house.<br><br>What was she feeling when she took her photographs， and what does she feel now as she travels through places she has never seen before?,Search for the place in the photo
shino1-3,scenario04,scenario02,Character Episode Shino : 4,The Girl Searching for a Place in a Photo,Whenever she talked about the place where she was born， her eyes looked somewhere far， far away.<br>Was her hometown， now so distant， somewhere beyond that gaze? Or was it something else entirely?<br><br>There is only one photograph left. If she finds that place too......what will she do afterward?,Search for the place in the photo
shino1-3_5,scenario04,scenario03,Character Episode Shino : 5,The Girl Searching for a Place in a Photo,It wasn't that she wanted to see her family or return to the life she used to have.<br>She simply wanted to return to her hometown one last time， just to see it with her own eyes. Her voice was quiet and trembling as she said it. Even if she says she's bad at remembering things， there are some things you just can't forget.<br><br>When Shino heard Natsuno say that she had no place she could call home， I wonder what she thought.,Search for the place in the photo
shino1-4,scenario04,scenario04,Character Episode Shino : 6,Her Hometown,She left to make her way to her hometown.<br>What will she think when she returns to that town in the mountains?<br><br>What is the town like now? Have the people disappeared， leaving it in ruins? Or does everyday life still quietly go on somewhere deep in the mountains?<br>I hope the scenery she remembers is still there.,-
akane1-1,scenario13,character03,キャラクターエピソード アカネ : 1,探しているもの,よく効く薬が見つかって、アカネは少し元気になった。<br><br>ナツノと別々に過ごしていた間、一人ではなかったのだという。誰と、どんな時間を過ごしていたのだろう。<br>彼女は言葉を濁す。その出会いは、彼女にとって何か特別なものだったのだろうか。,探しものを見つける
akane1-2,scenario13,character03,キャラクターエピソード アカネ : 2,探しているもの,どんな感じだった？　──そう問いかける彼女が何を考えているのか、わからない。<br><br>ナツノのことをたくましいと言うアカネは、彼女の左足とは別の何かを気にしているように見えた。<br>命を脅かしている変容よりも、大切なこと。いったい何が、彼女にあんな顔をさせるのだろう。,探しものを見つける
akane1-3,scenario13,character03,キャラクターエピソード アカネ : 3,探しているもの,世の中がこんなことになるのを、止められなかった。<br>そう言うのを聞いて、なんだか彼女がとても遠くに思えた。<br>未知のウイルス、未曾有の感染症。ウイルスではなく、感染症と呼べるものではなかったかもしれないけど、それが自分の手の届くところにあると、彼女は感じている。<br><br>そういう風に感じられる人が、今何を思うのか、想像もつかない。,旅を続ける
akane1-4,scenario13,scenario03,キャラクターエピソード アカネ : 4,こんな世の中だから,やるべきことを探している。<br>こんな世の中になってしまって、身体が変容してしまって、だからこそ、今、考えてしまう。<br>できることはいくらでもあると思える。ある意味では、整然としている世の中より、できることはずっと多いかもしれない。<br><br>でも、何をするべきなのか、と問われると、思い浮かぶものは何一つない。,旅を続ける
akane1-5,scenario13,scenario02,キャラクターエピソード アカネ : 5,やるべきこと,ともに時間を過ごした人が、目の前で命を落とした。<br>想像もできない。でも、こんな世の中では、そんなのはよくあることで。彼女たちがどんな思いで日々を生きているのか、わかってあげることはできない。<br><br>そんな死さえ日常で、心を動かすことができないとしたら。<br>なら、何を感じて、彼女たちは生きているのだろう。,旅を続ける
akane1-6,scenario07,scenario03,キャラクターエピソード アカネ : 6,わたしの、やるべきこと,やるべきことをやるために、彼女は一人、去っていった。<br>止めることはできなかった。やるべきことというのは、命よりも大切なのだろうか。わからない。彼女自身にだって、きっと優劣はつけられない。<br><br>ただ、それでも。<br>こんな世の中で過ごしていても、自分の信じるものを真っ直ぐに見つめていた彼女のことを、うらやましいと思う。,-
minamo1-1,scenario25,character05,キャラクターエピソード ミナモ : 1,恩人,ナツノが一度捨てたスマホを、彼女のところまで届けてくれた少女──ミナモと再会した。<br><br>彼女は今も、行く先もなく放浪しているらしい。ミナモはナツノと顔を合わせることに気まずさを感じていたようだけれど、二人が話しているのを聞くと、どうしてか穏やかな気持ちになった。,旅を続ける
minamo1-2,scenario25,character05,キャラクターエピソード ミナモ : 2,息苦しさの中で,世の中の生きづらさとか、息苦しさとか。そういうものから解放されて、自由な世界を満喫している。<br>終わってしまった、何もないこの世界を、ミナモは受け入れているようだった。でも、前向きな心持ちかというと、そうでもないように見える。<br><br>目的はないけれど、強いて挙げるなら、道場を探しているらしい。道場を見つけたとき、彼女は何を思うのだろう。,道場を探す
minamo1-3,scenario25,scenario04,キャラクターエピソード ミナモ : 3,息苦しさの中で,望んで選んだわけではないものを、他人から押しつけられたものを、どうしてあんな風に受け入れられるのだろう──かつての先輩に抱いてた気持ちを、ミナモが小さく漏らした。<br><br>その話を、彼女はすぐにやめてしまった。何もない世界だけれど、彼女は今でも、何かを追い続けているかもしれないと、そう思った。,道場を探す
minamo1-4,scenario27,scenario06,キャラクターエピソード ミナモ : 4,息苦しさの中で,何か問題があったわけではない。不自由なことなんて、何一つない。それでも、どうしてか生きづらくて。わかりやすい原因がないからこそ、解決することもできなくて。<br><br>どうして、みんなみたいに生きられなかったのだろう。<br>独り言のようにそう言う彼女は、今でも、世界が終わる前の苦しみの中にいるようだった。,道場を探す
minamo1-5,scenario26,character05,キャラクターエピソード ミナモ : 5,息苦しさの中で,大きな学校の中に、道場を見つけた。<br>息苦しさを思い出す、とミナモは言う。でも本当に苦しかったのは、その息苦しさよりも、そう感じているのが自分だけみたいに思えたこと。みんなが、平気そうに見えたこと。<br><br>どうして自分は、他人にとっての当たり前を「気持ち悪い」なんて思ってしまうのだろう。今でもわからない、と彼女はどこか遠くを見る。,ミナモと手合わせをする
minamo1-6,scenario25,character05,キャラクターエピソード ミナモ : 6,わたしらしく、,世の中は生きづらいと思う。それはきっと、間違った感覚じゃない。<br>でも、そんな世の中で希望をもって生きている人たちの見る景色を、自分も見てみたいと思うことができて。向き合ってみようと思えて。なのに、そんなときに世界は崩れ去ってしまった。<br><br>向き合う世界がなくなってしまった。なら、自分の思うように生きてみると彼女は言う。自分らしく生きるというのがどういうことなのか──いつか、答えを見つけられたらいい。,-
hinase1-1,scenario28,character07,キャラクターエピソード ヒナセ : 1,バイクで旅する女性,道の真ん中で、大きなバイクが立ち往生していた。<br>故障してしまったらしい。バイクの持ち主の女性、ヒナセとともに、修理するための部品を集めて旅することになった。<br><br>マニュアルを読んだり、分解したりしたから、機械にはそれなりに詳しいらしい。聡明そうだけれど、どこかマイペースな彼女は、バイクに乗ってどこを目指していたのだろう。,バイクの部品を探す
hinase1-2,scenario28,character07,キャラクターエピソード ヒナセ : 2,バイクで旅する女性,見たことのないものを、見てみたい。<br>家に籠って本ばかり読んでいたという彼女は、いろんなものを見て回りたくて、旅をしているのだという。<br><br>育ちがよくて聡明な彼女は、彼女なりに、今まで得ることができなかった何かを、こんな世界で探し出そうとしているようだった。,バイクの部品を探す
hinase1-3,scenario28,character07,キャラクターエピソード ヒナセ : 3,バイクで旅する女性,ヒナセと森を歩いた。<br>初めて来た森のような気がする。でも、どうしてそう思うのか、うまく説明できない。<br><br>都会の、コンクリートとアスファルトに囲まれたところで暮らしていて、何か失くしてしまったものがあるような気がする。それが何なのか、はっきりとはわからない。ただ、失くしている感覚だけがあって、それが、彼女を突き動かしている。,バイクの部品を探す
hinase1-4,scenario28,scenario04,キャラクターエピソード ヒナセ : 4,何か、忘れている気がして,知識があるだけで、何も知らない気がする。そんな漠然とした不安を、彼女はずっと抱えてきた。漠然とし過ぎて、どうすることもできないまま。<br><br>何かを忘れている気がする。いつかこの「私」は、消えてなくなってしまって、あとには何も残らないような気がする。<br>今までなら、日々の忙しさに埋もれてしまっていただろう。そういうおぼろげな不安が、こんな世界だからこそ、目を背けられないくらいはっきりと立ちはだかってくるのかもしれないと思った。,バイクの部品を探す
hinase1-5,scenario28,scenario04,キャラクターエピソード ヒナセ : 5,森の中にいる、ということ,森の大きさを感じる。この森が、今の姿になるまでにかかった、時間の大きさ。<br>その中に、自分もいるのだと彼女は言った。森の中で寝そべって、土の匂いの中に身を沈めていると、自分もこの森の一部なんだという気がしてくる。この身が滅びても、きっとそこから、新しい命が芽吹くだろう。<br><br>消えてなくなったりしない──彼女は、静かに息をする。,バイクの部品を探す
hinase1-6,scenario28,character07,キャラクターエピソード ヒナセ : 6,バイクで旅する女性,バイクを修理して、ヒナセはまた一人で走り出した。<br>彼女はこれから、きっといろんなものに出会うだろう。そしてそのすべてに、彼女の歩んだ跡が残っていく。望もうと望むまいと、彼女の歩みは、やがて何かに受け継がれる。<br><br>彼女はバイクに乗って風を受ける。そうやって、この身で感じてやっと見つかるものが、たくさんあるのだろうと、そう思った。,-
itsuka1-1,scenario35,character06,キャラクターエピソード イツカ : 1,同じように生きなくても,イツカが朝起きて来ないことが多くなった。<br><br>何をしているのでもない、ただ、一緒に暮らしていく中で彼女の生き方が見えてきただけなんだろうと思う。少しずつ遠慮がなくなっているのだと思えば、悪いことでもない。<br><br>ナツノが眠ってしまって一人になった夜、何を考えて過ごしているだろうと思う。,旅を続ける
itsuka1-2,scenario35,scenario04,キャラクターエピソード イツカ : 2,深夜,何も解決していない。まだ、見つけられていないだけかもしれない。<br><br>ないものをないと証明するのは難しい。できないかもしれない。まだ見つけられていないだけで、起きたことに原因はあるかもしれない。<br><br>でも、それを求めることでナツノを苦しめたくない──イツカは星の瞬く夜空を見上げる。朝日が昇ってくるまで、ずっと。,旅を続ける
itsuka1-3,scenario35,scenario06,キャラクターエピソード イツカ : 3,同じ名前の女性,安息の地を求めて旅をする一家と出会った。<br>彼らは少し前に、また別の集団とも出くわしていたらしい。その集団には、異様な魅力をもった女性がいて──その女性の名が、祖母と同じだった。<br><br>祖母と同じ名前の、「寂しさ」を和らげてくれる女性。もしかしたら、この世界にはまだ秘密があるのだろうか？<br>それとも、これもまた、ただの偶然なのだろうか？,旅を続ける
itsuka1-4,scenario35,character06,キャラクターエピソード イツカ : 4,後悔,仮想世界は、この現実の世界とは少し違う、「もしかしたらあったかもしれない」世界。この世界では生まれなかった人や、もう死んでしまった人だって生きている。だから──現実では死んでしまった祖母が、仮想世界ではまだ生きているかもしれない。<br><br>それでも、彼女は悩んでいる。誰かを苦しめるなら、真実なんて明らかにしない方がいいのかもしれない。,旅を続ける
itsuka1-5,scenario35,scenario06,キャラクターエピソード イツカ : 5,いくつもの真実,馬が合わないクラスメイトだっていた。言うことが正反対で、話がかみ合わないことだってたくさんあった。<br>でも、だからってケンカしないといけないわけじゃない。毎日笑顔で話ができたし、友達だった。<br><br>同じように、考えが違ったって、一緒に生きていくことはできるかもしれない。<br>でも、本当にそうだろうか？　その違いが、あまりにも深いところにあったとき、二人はそれでも一緒にいることができるだろうか？,旅を続ける
itsuka1-6,scenario35,scenario03,キャラクターエピソード イツカ : 6,ともに生きるために,イツカは、彼女の求める真実を探すために旅立った。<br>その先で、彼女は何かを見つけるだろうか。彼女が受け入れられて、信じることができる「物語」はあるだろうか。<br>たぶん、彼女次第だろうと思う。目の前にあるものが、どんな風に見えるのか──それはイツカにかかっている。<br><br>再会したとき、二人がともに生きていくことができればいい。<br>いつか、きっと彼女は帰ってくる。,-
meguru1-1,scenario16,character04,キャラクターエピソード メグル : 1,放浪する少女,絵を描きながら放浪する少女、メグルと出会った。<br><br>絵を描いているところをまじまじと見られるのは嫌いらしい。彼女は何かを探しているようで、しばしの間、行動をともにすることになる。,画材を探す
meguru1-2,scenario16,character04,キャラクターエピソード メグル : 2,絵を描く少女,絵具はもちろんなくなるし、壊れてしまったり、長く使っているとだめになってしまうものもある。<br>今はまだ、町から出て行った人々が残した品をあさって確保できる。でもやがて底を尽きるだろう。絵具に限らず、食料や、衣服のようなものだっていずれそうなる。<br><br>かたちのない知識や風習のようなものは、もうとっくに多くが失われてしまった──そう思うと、どうしようもない気持ちになる。,画材を探す
meguru1-3,scenario16,character04,キャラクターエピソード メグル : 3,絵を描く少女,母親が絵が好きだったから──絵を描く理由を、彼女はそんな風に語った。<br>幼い頃から、何かと絵に触れる機会が多かったらしい。<br><br>こんなことになってしまう前の彼女の私生活や家庭のようなものがうまく想像できない。気ままで自由に見える彼女は、どんなところで生まれ、育ったのだろう。,画材を探す
meguru1-4,scenario16,character04,キャラクターエピソード メグル : 4,絵を描く少女,彼女はどこかを目指しているらしい。でもそれがどこなのか教えてくれない。<br><br>彼女と話をする中で、少しずつ彼女のもとの暮らしが見えてくる。クラシック音楽、生け花、バレエ、バイオリン......今の彼女の風貌からは想像できないようなことばかりだった。<br>それが嫌になって、今の彼女がある──だけど、それでも絵だけは描き続けている。彼女は悲しげに語った。,画材を探す
meguru1-5,scenario16,character04,キャラクターエピソード メグル : 5,絵を描く少女,彼女が住んでいた家を訪れた。<br><br>絵を描くことだけはやめられなかった。<br>好きだからというだけではなく、親に勧められたからというだけではなく、彼女に描かせる何かがあるのだと言う。先祖代々そうしてきた、そういう時間の重さかもしれない。辞めてしまったら今までやってきたことがすべて無駄になってしまう、そういう虚しさかもしれない。<br><br>その気持ちの正体は、彼女自身にさえまだわからない。,画材を探す
meguru1-6,scenario16,character04,キャラクターエピソード メグル : 6,絵を描き続ける少女,彼女はこれからも絵を描き続ける。<br><br>どうして絵を描くのか、そう自問してもやっぱり答えは出ない。<br>でも、いろんなものが失われたり、日々崩れていく中で、描いているこの絵はまだ続いているのだと思う。彼女が今描いているというだけではない、ずっと昔から受け継がれてきた文化や流れの、その先にいる。<br>それが素晴らしいことだと、彼女は前向きに考えることができる。,-
-,,,,,,
kiko2-1,scenario10,character01,Character Episode Kiko : 2 - 1,The Girl Traveling with a Dog,I reunited with Kiko， the girl I once met while she was traveling with Natsuno in search of her dog.<br><br>Her beloved dog Minotaro， whom she and her family had raised， was buried by Natsuno and Kiko together. So of course， the dog she has with her now isn't Minotaro. Why was she walking with another dog? What happened to her after that?,Search for animals
kiko2-2,scenario10,character01,Character Episode Kiko : 2 - 2,The Girl Traveling with a Dog,After parting with Natsuno， Kiko had nowhere to go.<br>She thought she would be fine even if she could go wherever her beloved dog had gone.<br><br>But then she met a dog in town. A dog that had once belonged to someone. A dog that kept waiting for a family who would never come back.<br>Kiko couldn't leave the weakened dog behind. Its loneliness reminded her of her own.<br><br>Even that meeting was just a coincidence. But that coincidence shaped the person she is now.,Search for animals
kiko2-3,scenario10,character01,Character Episode Kiko : 2 - 3,The Girl Traveling with a Dog,Apparently， she now travels around helping animals left behind in the towns.<br>Kiko's family left town with Minotaro. They were separated partway through the journey， but until then， they had always been together. But not every animal was so lucky. Some lives were simply left behind， with no one able to help them.<br><br>She is saving those lives together with the people at the camp.<br>She is different from the girl who once wanted to follow after Minotaro， but she still feels just as far away.,Search for animals
kiko2-4,scenario10,scenario03,Character Episode Kiko : 2 - 4,The Girl Living with a Dog,There are very few lives she can save on her own. Whether she saves them or not makes only the smallest difference. The world won't change， and the future won't be any different.<br><br>Even so， she won't stop. Even if it means risking her own life， there are things more painful than dying. She isn't throwing her life away， but there are things she refuses to give up on.<br><br>As she left with the dog， she walked with far more confidence than she had when we first met.,-
shino2-1,scenario04,character02,Character Episode Shino : 2 - 1,The Girl Who Takes Photos,I reunited with Shino.<br>She smiled with the same brightness she had when we first met.<br><br>She had apparently accomplished what she set out to do: return to her hometown. She went back to that distant town， and then came all the way back here again. What kind of journey did she have? Natsuno had met all kinds of people and experienced all kinds of things. Surely Shino had just as many memories of her own.,Take photos
shino2-2,scenario04,character02,Character Episode Shino: 2 - 2,The Girl Who Takes Photos,She couldn't feel anything.<br>When she reached her hometown and saw the scenery just as she remembered it—or saw how horribly it had changed—she still couldn't feel anything.<br><br>It wasn't that she truly felt nothing. But it wasn't what she had expected. By returning home， she finally realized how she really felt.,Take photos
shino2-3,scenario04,character02,Character Episode Shino: 2 - 3,The Girl Who Takes Photos,When she is away from her hometown， she wants to go back. But once she returns， she no longer knows why she wanted to.<br>There was nothing there for her. Not only had her family and friends already left the town， but she couldn't feel anything there anymore.<br><br>So was the feeling that made her want to go home all a misunderstanding? Did she never really want to return?<br>She says that isn't true. That feeling had been real too. Even if she eventually comes to feel empty about it， what she feels now isn't a lie.,Take photos
shino2-4,scenario04,scenario03,Character Episode Shino: 2 - 4,The Girl Who Keeps Taking Photos,Because this town is someone's hometown too， she takes photographs.<br>It isn't necessarily because she wants someone to see them. It would be nice if someone did. But even if no one ever does， she will probably keep taking them. The simple desire to preserve someone's home in photographs is enough to keep her traveling.<br><br>Even if she regrets it someday， that won't make what she feels now a lie.<br>She is living in the present， taking each step with certainty.,-
minamo2-1,scenario25,character05,キャラクターエピソード ミナモ : 2 - 1,村で暮らす少女,竹刀を背負った少女、ミナモと再会した。<br>彼女は今、偶然見つけた村で暮らしているらしい。三十人ほどの人々と、井戸水を汲み、畑を耕して生きている。<br><br>そこにはきっと、小さないながらも社会があるだろう。世界がこんな風になってしまう前、彼女が拒んでいた空気が今も漂っている。それでも彼女は望んで、その息苦しさの中で生きようとしていた。,役立つものを探す
minamo2-2,scenario25,character05,キャラクターエピソード ミナモ : 2 - 2,剣道を教える少女,彼女は、村の子供たちに剣道を教えているらしい。こんな世では、自由に遊びまわるのも難しいだろう。子供たちにとっては、いい退屈しのぎかもしれないと彼女は言う。<br><br>なんだかんだと言いながら、彼女自身、そうして子供たちの面倒を見ることにやりがいを感じていた。そしてまた、そうして大人の立場になって思うこともある。<br>一人で歩いていた頃とは違う何かを、彼女は感じ始めているようだった。,役立つものを探す
minamo2-3,scenario25,character05,キャラクターエピソード ミナモ : 2 - 3,剣道を教える少女,子供たちを守らなければならない。<br>今までずっと守ってもらう立場だったのだと彼女は言う。でも今暮らす村で、彼女は大人とみなされることもある。そうして今まで感じたことのなかった気持ちで、子供たちのことを見ている。<br><br>あの息苦しさは、もしかしたら、そんな大人たちの思いによってつくられていたのかもしれない。<br>そう納得して、でも、納得してしまうことが悔しいと、彼女は言った。,役立つものを探す
minamo2-4,scenario25,character05,キャラクターエピソード ミナモ : 2 - 4,村で生きる少女,あの息苦しさの中で、また別の立場に立ってみてわかったこともある。それはきっと彼女にとっていい変化だっただろう。<br>でも、納得したくない、受け入れたくないと思うこともある。あるいは、自分が今、子供たちにあの息苦しさを感じさせているのかもしれないと思うと、何より悲しい。<br><br>そういういろんな思いの落としどころが見つかればいい、と彼女は言った。<br>きっと誰だって、そういう迷いの中で、他人と一緒に生きているのだと思う。,-
hinase2-1,scenario28,character07,キャラクターエピソード ヒナセ : 2 - 1,バイクで旅した女性,バイクに乗って旅を続ける女性、ヒナセと再会した。<br>シノを故郷の町まで送り届けて、それからまた一人で旅を続けているらしい。<br><br>ナツノがこれまでに見聞きしたことを話しても、彼女は笑っていた。その独特な雰囲気に、なんだか安心してしまう。,燃料を探す
hinase2-2,scenario28,character07,キャラクターエピソード ヒナセ : 2 - 2,バイクで旅した女性,シノと喧嘩をしたのだと彼女は語った。<br>シノ自身思い悩んで、自分の気持ちの整理がつかないところに、あれやこれや訊いてしまった。どうして気になるのかと問われて、でも彼女は何も答えられなかった。<br><br>どうして知りたいのか──言葉にすることができない自分の気持ちのことを、彼女はずっと考えている。,燃料を探す
hinase2-3,scenario28,character07,キャラクターエピソード ヒナセ : 2 - 3,バイクで旅した女性,旅をする人々と話をして、彼女はまた考える。<br>誰かと話をすることで気づくことがある。普段の自分の考えは曖昧でかたちがないけれど、誰かと話すと、そういうものの輪郭にふと手が届いたりする。<br><br>誰かに説明するためだけではない、自分自身が納得するために、彼女は言葉を探している。,燃料を探す
hinase2-4,scenario28,character07,キャラクターエピソード ヒナセ : 2 - 4,バイクで走り続ける女性,人との出会いを求めて、彼女はこれからも旅を続ける。<br>そして本を書く。自分のための日記ではない、誰かに読んでもらうための本。言葉を綴りながら、彼女は少しずつ自分のことを知っていく。<br><br>本を書くだなんていうと、なんだか途方もないことのように思う。でも、一文字一文字書き連ねていった先に、きっと彼女の知りたいことがあるのだろう。,-
akane2-1,scenario00,character03,キャラクターエピソード アカネ : 2 - 1,足を失った女性,再会したアカネは、左足の脛から下を失っていた。<br><br>感染し、金属の管が生えていた左足。切り落とされ、手づくりの義足になったけれど、立ち姿はむしろ以前の彼女に戻ったように思えた。感染した足を引きずっていた頃より、ずっと軽やかだった。<br><br>自分で切り落としたわけではない──あれから、彼女はどんな時間を過ごしたのだろう。,生き続ける
akane2-2,scenario00,scenario03,キャラクターエピソード アカネ : 2 - 2,足を失った女性,寝て起きたら、足がなくなっていた──笑いながら彼女はそう話した。<br><br>それがどんな衝撃だったのか、想像することもできない。麻酔が切れたあとの痛みと、身体の一部を失ったショックは、きっと凄まじいものだろう。<br>人の足を切り落とす手術を一人でこなしたというその女性の心境も、察するに余りある。<br><br>それでも今は笑って、その人に出会えてよかったと、彼女は言う。,生き続ける
akane2-3,scenario00,scenario04,キャラクターエピソード アカネ : 2 - 3,生き続けるということ,感染した足を失って、生き続けていること。<br>彼女が生きていること、それ自体が、誰かの希望になるかもしれない。<br><br>感染した足を調べても何もわからなかった。でも、だからってできることがないわけでもない。感染した部分を切除することで、命を繋ぐことができるかもしれない。彼女は自分が生き続けることで、それを証明しようとしている。<br><br>暗闇を歩き続けるような日々の中で、彼女は希望を見出している。,生き続ける
akane2-4,scenario00,scenario03,キャラクターエピソード アカネ : 2 - 4,生き続けるということ,誰かの希望になるために、彼女は旅立った。<br><br>行く先で、彼女はたくさんの人々と出会うだろう。感染して、でもまだ意識のある人。彼女と同じように身体の一部を切り落とした人。彼女を救った女性がそうだったみたいに、思いもよらない出会いが新しい希望になるかもしれない。<br><br>彼女が生き続ける限り、誰かの希望になる。<br>そしてそれが、彼女自身の希望でもある。,-
itsuka2-1,scenario35,character06,キャラクターエピソード イツカ : 2 - 1,旅から戻った少女,祖母と同じ名前の人を探しに行く──そう言って旅立ったイツカが、戻ってきた。<br><br>山の中の村で、彼女はその少女に会えたらしい。彼女は奇妙な雰囲気をもっていて、村の人々は彼女を信仰していた。彼女と話してみて、普通ではないとわかった。<br><br>彼女と話していると、寂しさから解放される気がする──イツカはそう言った。,旅を続ける
itsuka2-2,scenario35,character06,キャラクターエピソード イツカ : 2 - 2,旅から戻った少女,彼女には、「寂しさ」を解消するちからがあるのかもしれない。彼女と話をすると身体の変容が止まったという噂さえ聞く。<br>彼女はご神託を受けたと言っているようだけれど、もしそうなら、本当にこの世界の救世主なのかもしれない。<br><br>けれどもイツカは彼女の話を受け入れられなかった。彼女もまた、イツカの体験してきたことを否定した。<br><br>それぞれが別々のものを信じている、イツカはそう言い、肩を落とした。,旅を続ける
itsuka2-3,scenario35,character06,キャラクターエピソード イツカ : 2 - 3,旅から戻った少女,ナツノがたどり着いた結論も、あの村で少女が語ったご神託も、真実かもしれないし、そうではないかもしれない。<br>けれど重要なのは、誰が何を信じているのか、ということなのかもしれない。ナツノと少女は、それぞれ別々のものを信じている。<br><br>イツカはナツノの結論を受け入れられず、少女の言うご神託も信じられなかった。自分が声を聞いたことには、何か意味があるのだと思いたい。<br><br>でも、時間が解決してくれるのかもしれないと彼女は言う。,旅を続ける
itsuka2-4,scenario35,character06,キャラクターエピソード イツカ : 2 - 4,旅に出る少女,人の数だけ、真実がある。<br>信じていることが違ったりしても、ともに生きていけないわけでもない。何を信じていいかわからなくなることがあるかもしれないけれど、そんなのは失恋と同じで、時間が解決してくれるだろう。<br><br>そういう時間が流れ去るのを待つために、そしていろんなものを見るために、イツカは旅に出る。彼女には彼女の真実があるだろう。それはたぶん、ナツノとも、あの村の少女とも違う。<br><br>それでもまたどこかで会おうと、二人は約束をした。,-
meguru2-1,scenario16,character04,キャラクターエピソード メグル : 2 - 1,妹と出会った少女,再会したメグルは、小さな子供と一緒だった。<br>亡くなった母親が連れていた、妹なのだという。メグルと父親のもとを離れた母親が、新しい恋人とつくった子供。妹がいたという事実に驚き、知らなかったことを悲しいと思う。<br><br>けれども彼女が妹を見る目は優しく、あたたかい。,旅を続ける
meguru2-2,scenario16,character04,キャラクターエピソード メグル : 2 - 2,妹と出会った少女,母親が死んで悲しい。でも、悲しいのは死んで会えなくなったことだけではない。<br><br>彼女の母親は、これから先、新しい何かに出会うことはない。娘の成長を見ることはないし、新しい趣味を見つけることもない。生きている間は、未来にどんな可能性だってあったんだと思う。けれど死んでしまって、すでにすべてが決まった過去の存在になってしまった。<br><br>それが何より悲しいと彼女は言う。,旅を続ける
meguru2-3,scenario16,character04,キャラクターエピソード メグル : 2 - 3,妹と出会った少女,妹に画用紙とクレヨンを渡してみる。<br>すると思うとは、楽しそうに絵を描き始めた。<br><br>そういう日常の一つひとつを、メグルは穏やかに受け入れらているように見えた。妹を見ていると、母親のことを思い出す。そして、自分もその母親の子なんだと実感する。<br><br>そんな彼女の弱音が減って、なんだか少し、寂しかった。,旅を続ける
meguru2-4,scenario16,character04,キャラクターエピソード メグル : 2 - 4,これからを生きる少女,妹と出会って、彼女は変わった。<br><br>とても特別なことのようで、でも、本当はなんでもないのかもしれない。劇的な何かがなくても、人は変わっていく。変わっていくだけのゆとりと時間が、彼女たちにはある。<br><br>ナツノだって、これから変わっていくだろう。<br>未来はまだ決まっていなくて、どんな可能性だってある。,-
-,,,,,,
baseCamp0-1,baseCamp00,story00,キャンプ地,小さな町の空き地,{0}回目のキャンプ地。<br><br>静かな町角の空き地。<br>空っぽになった町は静けさの中にある。真冬の早朝みたいに。それでも、耳を澄ませばときどき誰かの足音がして、息遣いが聞こえる。<br><br>辺りには、アパートや小さな商店、ホテル、学校がある。,旅を続ける
baseCamp1-1,baseCamp01,story00,キャンプ地,都会の駐車場,{0}回目のキャンプ地。<br><br>大きな街の駐車場。<br>背の高いビルに囲まれているせいか、ときどき強い風が吹く。都会を吹く風はちょっと怖い。この高い高いビルが倒れてきそうで。そんなことあり得ないって、わかっていても。<br><br>辺りには、商店やオフィスビル、図書館がある。,旅を続ける
baseCamp2-1,baseCamp02,story00,キャンプ地,森の中のキャンプサイト,{0}回目のキャンプ地。<br><br>森の浅いところに広がるキャンプ場。<br>空気がおいしい。こんな世界になって、空気も川の水もずいぶんきれいになったかもしれない。それでもやっぱり、森の中は一味違う。<br><br>辺りには、小屋や屋敷、ほかのキャンプ場がある。,旅を続ける
baseCamp3-1,baseCamp03,story00,キャンプ地,郊外の大きな公園,{0}回目のキャンプ地。<br><br>街の外にある大きな公園。<br>きっと以前はたくさんの家族連れで賑わっていただろう。人が消えてこんなに静かなところもなかなかない。いつかすべて元どおりになる──そう思っていた頃が懐かしい。<br><br>辺りには、ホテルやホームセンター、工場がある。,旅を続ける
baseCamp4-1,baseCamp04,story00,キャンプ地,村の外れの草原,{0}回目のキャンプ地。<br><br>小さな村の外れにある開けた草原。<br>ここから見渡せる村にも、きっと生き残った人はいないだろう。いつの間にか期待さえしなくなった。そのことをちょっとだけ悲しいと思う。この悲しさは、どうか、失わないでいたい。<br><br>辺りには、小さな村や屋敷、アパートがある。,旅を続ける
baseCamp5-1,baseCamp05,story00,キャンプ地,山の中腹の駐車場,{0}回目のキャンプ地。<br><br>山を少し登ったところにある駐車場。<br>もともと何をする人たちが使っていたのだろう。近くに登山口でもあるのだろうか。ときどきこうして、何に使っていたのかわからない場所や道具を見かけるけれど、どうして、と問える相手はいつもいない。<br><br>辺りには、小屋やキャンプ場、遊園地がある。,旅を続ける
